Format Version,1.23,Take Name,Take 2023-12-12 11.00.19 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-12 11.00.19.349 ,Total Frames in Take,1430,Total Exported Frames,1430,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,mano,mano,mano,mano,mano,mano,mano,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
184,1.840000,,,,,,,,0.015852,-0.068959,-0.093587,-0.993094,1.606467,-0.327570,-1.062584
185,1.850000,,,,,,,,0.017434,-0.076272,-0.093588,-0.992532,1.606866,-0.327665,-1.064173
186,1.860000,,,,,,,,,,,,,,
187,1.870000,,,,,,,,,,,,,,
188,1.880000,,,,,,,,0.002863,-0.078721,-0.100779,-0.991785,1.608696,-0.325897,-1.069160
189,1.890000,,,,,,,,0.010322,-0.060237,-0.103477,-0.992752,1.608681,-0.324656,-1.070378
190,1.900000,,,,,,,,-0.000939,-0.072800,-0.097072,-0.992611,1.609675,-0.325092,-1.072267
191,1.910000,,,,,,,,0.012260,-0.059607,-0.106090,-0.992493,1.609987,-0.324129,-1.073154
192,1.920000,,,,,,,,-0.001657,-0.073269,-0.104164,-0.991856,1.610330,-0.323464,-1.075377
193,1.930000,,,,,,,,-0.001568,-0.076737,-0.115174,-0.990376,1.610365,-0.322626,-1.077159
194,1.940000,,,,,,,,-0.007704,-0.086465,-0.107157,-0.990445,1.611992,-0.322907,-1.078973
195,1.950000,,,,,,,,-0.005824,-0.082382,-0.106897,-0.990834,1.612567,-0.322357,-1.080274
196,1.960000,,,,,,,,,,,,,,
197,1.970000,,,,,,,,,,,,,,
198,1.980000,,,,,,,,,,,,,,
199,1.990000,0.360912,0.537305,0.151865,-0.746983,1.615573,-0.320528,-1.085382,,,,,,,
200,2.000000,,,,,,,,,,,,,,
201,2.010000,,,,,,,,,,,,,,
202,2.020000,0.360092,0.537811,0.144754,-0.748425,1.617041,-0.319284,-1.090665,,,,,,,
203,2.030000,0.357277,0.537216,0.145533,-0.750048,1.617415,-0.318746,-1.091435,,,,,,,
204,2.040000,,,,,,,,-0.006532,-0.059846,-0.106818,-0.992454,1.617835,-0.317741,-1.093794
205,2.050000,,,,,,,,-0.004681,-0.064932,-0.105294,-0.992308,1.618361,-0.317306,-1.095505
206,2.060000,,,,,,,,-0.008432,-0.062148,-0.107084,-0.992270,1.618858,-0.316811,-1.096840
207,2.070000,,,,,,,,,,,,,,
208,2.080000,,,,,,,,,,,,,,
209,2.090000,,,,,,,,,,,,,,
210,2.100000,,,,,,,,-0.005190,-0.059957,-0.111923,-0.991893,1.620310,-0.315166,-1.102889
211,2.110000,,,,,,,,,,,,,,
212,2.120000,,,,,,,,-0.007107,-0.063246,-0.110938,-0.991787,1.621290,-0.314323,-1.105860
213,2.130000,0.348318,0.524226,0.145391,-0.763363,1.622324,-0.314831,-1.106481,,,,,,,
214,2.140000,0.349264,0.526027,0.146133,-0.761548,1.622783,-0.314621,-1.107769,,,,,,,
215,2.150000,0.347920,0.525080,0.145113,-0.763011,1.623408,-0.314056,-1.109621,,,,,,,
216,2.160000,,,,,,,,-0.009511,-0.064232,-0.114462,-0.991303,1.623302,-0.312894,-1.111513
217,2.170000,0.347646,0.525997,0.143215,-0.762862,1.624173,-0.313490,-1.111949,,,,,,,
218,2.180000,0.346883,0.519994,0.143155,-0.767323,1.624763,-0.313112,-1.113981,,,,,,,
219,2.190000,0.345735,0.518183,0.144021,-0.768903,1.625190,-0.312727,-1.115505,,,,,,,
220,2.200000,0.343934,0.519845,0.148204,-0.767793,1.625709,-0.312321,-1.117042,,,,,,,
221,2.210000,0.343217,0.519890,0.147456,-0.768227,1.626130,-0.312013,-1.118296,,,,,,,
222,2.220000,,,,,,,,-0.024244,-0.089455,-0.128125,-0.987418,1.624635,-0.310443,-1.121106
223,2.230000,0.342090,0.518731,0.142699,-0.770409,1.626672,-0.311123,-1.121852,,,,,,,
224,2.240000,0.341222,0.517610,0.141239,-0.771816,1.627025,-0.310887,-1.123160,,,,,,,
225,2.250000,0.342227,0.514649,0.141123,-0.773370,1.627497,-0.310920,-1.124475,,,,,,,
226,2.260000,,,,,,,,,,,,,,
227,2.270000,0.341134,0.510445,0.141045,-0.776646,1.628233,-0.310127,-1.127462,,,,,,,
228,2.280000,0.339098,0.510972,0.138791,-0.777597,1.628589,-0.309817,-1.128972,,,,,,,
